cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
Ugxz5-CUV9UygoELX554AaABAg,"Timothy juga adalah contoh orang yg selalu reiterasi. Orang kayak dia nih yg pasti akan jadi orang yg gak hanya kaya dan cerdas tapi bijaksana. Karena reiterasi itu sendiri adalah selalu menambah, mengurangi, & memperbaiki apa yg harus dan kurang. Jadi orang kayak gini yg akan nyampe di titik hampir 'sempurna' karena ya ibarat akan ditambal terus tiap langkah kehidupannya. Dengan kombinasi itu tadi, kecerdasan dan kebijakan dia pasti akan selalu koreksi diri & hidupnya, dan bahkan lingkungan & negaranya. Itulah kenapa tujuannya begitu & itu mulia sekali. Goodjob timo.",2 jam yang lalu (diedit),@yoursweetnightmare5134,UCoS-vuqULxOEAh7Q_0NlCfw,2,,https://yt3.ggpht.com/ytc/AIdro_nGDuf-XL_xrzPb1tA9jsl0zxlztdCKA3pgge8AzVf5bQ=s88-c-k-c0x00ffffff-no-rj,False,False,1750244867.028076,
Ugx8g1sYZJCA-RaXuVt4AaABAg,"Dari pembicaraan ini saya tidak melihat sebuah perbedaan ilmu yg sangat jauh seperti usia nya, saya sangat menikmati dan belajar banyak dari pembicaraan ini",22 jam yang lalu (diedit),@jufri1M,UCfoCOUv-BObi6iFGCTP5Yjg,21,,https://yt3.ggpht.com/ytc/AIdro_krXrdAqa5zoGkG2xyDkWOJmvUxEiWw_zFnEklIf8_UZw6nrwK22ITY5D5-9rlyXgcG4Q4=s88-c-k-c0x00ffffff-no-rj,False,False,1750172867.030076,
UgzUh4aEqg4Qn-Sw8AN4AaABAg,"anjirr gue ikutin kata Timothy Ronald 3th yg lalu , gue punya anak 2  ngontrak di rumah kecil gak mau kpr rumah  gue pakai motor beat tahun  rendah gue hilangin semua gengsi gue  ,gak gue sentuh kridit dan segala jenis hutang  , save uang buat bangun rumah , 3 th aja gue udah bisah belih tanah dan sedang bangun rumah alhamdulilah udah jadi 80% rumah gue , termotivasi gue sumpah, ingat bro jangan sentuh kridit , tabung uang beli cash ,",1 hari yang lalu (diedit),@ridhoabdul-u4h,UCywm-OjJsIie8OsPiMdY50w,5 rb,262,https://yt3.ggpht.com/dwcLN5NBDkH14BiVy8lGpfEm_84nj8jNu9RFg8eaFZH_gfa08b1Q5jOYjI1bBirL83O4f_TsnBY=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.033137,
Ugy_5mSsdVP1C6JHdfp4AaABAg,"Sya sbgai orang tua begitu bangga lihat perjuangan timoty walaupun dr keluarga yg tdk lengkap tpi justru punya semangat berjuang demi ibu n saudarany, bahkan yg lebih sya bangga ketika mendengar timoty membuat sekolah yg lengkap smua keperluan sekolah hingga lingkup yg memadai n ada lengkap tempat WC utk anak sekolah yg d bangun utk daerah yg jauh.seperti d NTT , Papua n daerah lainny ,semoga masih bnyak ada anak muda mudi yg mau jadi guru yg baik yg punya rasa cinta kasih syang pda diri sendiri seperti seorang suster yg penuh kasih utk sesama manusia ,selamat berjuang terus nak timoty semoga tdk pantang menyerah n tdk berputus asa, sya yakin Tuhan Yang Maha Kuasa yg melihat perjuangan timoty akan berhasil cita2 mu amin",1 hari yang lalu,@evijantidarmawi8452,UCFiLe0B56v-vDcnTQBApjLQ,111,3,https://yt3.ggpht.com/ytc/AIdro_m76fodceUmVTkTvnweWivQWt0RP89WysXGHgSPJT8=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.037135,
Ugy3YmvmqqRq9UVJQGh4AaABAg,❤❤❤ Orang yg suka membandingkan sebenarnya mereka paling sedih. Podcast penuh ilmu 🎉,12 jam yang lalu,@ceritalangitbiru,UCG0wqpcsb0lhU7G5k2lbPrw,11,,https://yt3.ggpht.com/_FXb3n_-HLZu9re7tYAzk6b9TRLywQKTg4Sd8r6cfFDnh-v67drvIaBts8KUbId41KYZnk1X2A=s88-c-k-c0x00ffffff-no-rj,False,False,1750208867.039168,
UgwqUXI9KyEAAYXAhBt4AaABAg,"Timothy Ronald , cita2 nya hebat dan sudah terealisasi , mencerdaskan anak2 , itu luar biasa , semoga rejeki dan mencerdaskan anak bangsa berguna sekali , aku diusia ini kagum dengan anak muda dengan kebijaksanaan",23 jam yang lalu,@tantykurniaty9575,UC5EyQJ5WyfEOBDiUZ8lsvLg,182,6,https://yt3.ggpht.com/ytc/AIdro_luMd3Z-b677IoxGlS9DXfc-rZ8BvpE9JUIp6wbcbqC4Q=s88-c-k-c0x00ffffff-no-rj,False,False,1750169267.043081,
Ugy0hFTlC9teGy5yaql4AaABAg,"Ternyata impianya timony itu mulia sekali.  .memperbaiki pendidikan , dan sekarang udah bangun sekolah  gratis . Gila . Anak muda cerdas banget..",1 hari yang lalu,@AdnyanaSaja,UC1xgk2aYkLUF2H-qkQVJndg,353,19,https://yt3.ggpht.com/ytc/AIdro_mIq3VHfPUrGhS9seKsJqeGzc2vC6doz0-nM2OENLkRxafGhMnaFzOjB0stCwcIPBngbw=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.046164,
UgwSZaL9zLwIIkC0RVZ4AaABAg,"Bayangin anak muda sukses mana yang bakar uang dari hasil kerja kerasnya hanya untuk memperbaiki pendidikan di Indonesia selain bro Timothy ini , nggak cuma itu dia pengen buat orang orang sadar , melek ekonomi, dan sadar akan realita hidup saat ini . Ini bukan sekedar hebat tapi jenius yang hebat 👏🏻",1 hari yang lalu,@JihanaAnait,UCeJ-Ci7yu1_qMJEl49kd5Nw,71,2,https://yt3.ggpht.com/o0-t3Fp8nSqdds6_d8udoTGliXHD5dC9A-A5Km6Vekuv03VXZntkxP80_TMG2Fmjtb7icPIb=s88-c-k-c0x00ffffff-no-rj,False,False,1750165667.049077,
Ugx-K5ePCzDdrPBBEeF4AaABAg,"Saya terharu liat 2 orang luar biasa ini, seneng liatnya kalo ada orang2 pintar di negara ini yang mencoba untuk memajukan masyarakat, saya banyak belajar dari podcast om ded, banyak belajar juga dari konten, dan discord academy crypto. Harapan saya semoga kedepannya lebih banyak lagi orang2 hebat seperti kalian, ngk neko2 saya rasa 10% orang seperti kalian yang nyalain kamera untuk mengedukasi masyarakat di negera ini pasti negara ini akan jauh lebih baik.",16 jam yang lalu,@fadhil.r535,UCo7ptebzvli-BZnRSuEcE-w,5,,https://yt3.ggpht.com/ytc/AIdro_n3pQuFFIbmnDd9wiB2HhYzZwcljXPBkFMbM2d1XcvEiLU=s88-c-k-c0x00ffffff-no-rj,False,False,1750194467.051168,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT5w8ivQjX,Ncek,1 hari yang lalu,@Chreist,UCeemWwmpVtnrr0Jz50YivaQ,97,,https://yt3.ggpht.com/kFxi7SMRiqWX018rFm4isEuLrlnI8TouyYArbik9uSg3nisSJzcKeCNog8ZHylUU8FgW1PT_=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.260509,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT5xrtkWUu,1,1 hari yang lalu,@NnNoox,UCe0iM0Fa7aibud_76za0VJA,35,,https://yt3.ggpht.com/ci0iaoWvzygWrKTTB3pPEon8EQvhnMIJxPgicHgVAexOGg0MrGbNe9yYsAHYoWg37pPWELIxGg=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.264497,
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6180VC6a,"Bro tim makasih atas edukasinya. Saya dokter spesialis saja merasakan himpitan inflasi. You help to open our eyes. 

Next tolong undang ustadz Devin Halim di podcast bro, beliau pakar Syariah crypto dan praktisi juga, biar yang takut BTC karena aspek syariah bs belajar",1 hari yang lalu,@luqmanhidayatullah4481,UCJvz6sttqYMg_fAdL_kumig,247,,https://yt3.ggpht.com/ytc/AIdro_mfEPlXfTTy6tGjynGo40wHzVuq-qYUud68tL4zIKk=s88-c-k-c0x00ffffff-no-rj,False,True,1750165667.269491,
